0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3	4	4	4	5	6	7	6	8	6	9	6	7	4	4	10
3	4	4	4	11	4	4	4	11	4	4	4	11	4	4	10
3	6	12	6	13	4	4	4	14	6	15	6	16	4	4	10
3	17	17	17	18	4	4	4	11	4	4	4	4	4	4	10
3	19	19	19	14	6	20	6	21	4	4	22	23	24	4	10
3	25	25	25	11	26	4	4	4	22	23	27	28	29	4	10
3	30	30	31	14	32	16	6	7	33	6	6	35	36	4	10
3	26	32	32	11	32	32	26	11	36	26	26	26	36	4	10
3	26	32	32	37	6	7	6	38	39	23	23	23	27	4	10
40	41	41	41	41	41	41	41	41	41	41	41	41	41	41	42
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
