0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,5,5,5,9,7,8,7,9,7,10,7,8,5,5,11
4,5,5,5,12,5,5,5,12,5,5,5,12,5,5,11
4,7,13,7,14,5,5,5,15,7,16,7,17,5,5,11
4,5,5,5,18,5,5,5,12,5,5,5,5,5,5,11
4,5,5,5,15,7,19,7,20,5,5,21,22,23,5,11
4,5,24,24,12,24,5,5,5,21,22,25,26,27,5,11
4,24,24,28,15,28,17,7,8,29,30,7,31,32,5,11
4,24,28,28,12,28,28,24,12,32,24,24,24,32,5,11
4,24,28,28,33,7,8,7,34,35,22,22,22,25,5,11
36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
